event-id,visible,timestamp,location-long,location-lat,locality,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36178092939,TRUE,30:06.0,130.4872,0.0241,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092940,TRUE,23:23.0,130.508,0.0212,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092941,TRUE,12:46.0,130.6354,0.0867,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092942,TRUE,14:42.0,130.5142,-0.0195,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092943,TRUE,54:26.0,130.3883,-0.0539,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092944,TRUE,46:37.0,130.296,-0.0569,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092945,TRUE,12:03.0,130.3615,-0.0176,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092946,TRUE,37:17.0,130.3942,0.0093,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092947,TRUE,57:58.0,130.3902,0.0142,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092948,TRUE,35:50.0,130.288,-0.0432,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092949,TRUE,07:15.0,130.5795,0.0163,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092950,TRUE,40:42.0,130.5881,0.0152,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092951,TRUE,01:29.0,130.6392,0.0619,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092952,TRUE,33:06.0,130.6771,0.0296,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092953,TRUE,26:24.0,130.6594,0.0262,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092954,TRUE,21:57.0,130.5898,-0.0118,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092955,TRUE,53:22.0,130.5327,0.0062,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092956,TRUE,10:57.0,130.3808,-0.0538,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092957,TRUE,41:22.0,130.3416,-0.0602,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092958,TRUE,48:08.0,130.3323,-0.0616,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092959,TRUE,23:14.0,130.3079,-0.0606,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092960,TRUE,31:13.0,130.3089,-0.0609,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092961,TRUE,47:31.0,130.2795,-0.0666,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092962,TRUE,53:06.0,130.2786,-0.064,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092963,TRUE,12:03.0,130.2832,-0.057,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092964,TRUE,19:11.0,130.2813,-0.0547,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092965,TRUE,27:55.0,130.6466,0.02,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092966,TRUE,40:01.0,130.6264,0.0764,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092967,TRUE,04:30.0,130.5481,0.0463,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092968,TRUE,02:28.0,130.5106,0.1028,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092969,TRUE,41:42.0,130.4323,0.0258,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092970,TRUE,39:59.0,130.4005,0.0129,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092971,TRUE,02:14.0,130.3958,0.0044,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092972,TRUE,17:55.0,130.3965,-0.0446,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092973,TRUE,24:07.0,130.3987,-0.0444,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092974,TRUE,41:13.0,130.4165,-0.0152,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092975,TRUE,22:39.0,130.4031,0.0142,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092976,TRUE,29:44.0,130.4023,0.0142,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092977,TRUE,11:27.0,130.379,0.0193,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092978,TRUE,07:22.0,130.4566,0.0267,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092979,TRUE,07:11.0,130.4319,0.0393,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092980,TRUE,12:09.0,130.4307,0.0401,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092981,TRUE,48:50.0,130.4637,0.0421,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092982,TRUE,06:16.0,130.4504,0.0317,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092983,TRUE,05:03.0,130.4581,0.0618,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092984,TRUE,25:10.0,130.4298,0.037,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092985,TRUE,11:35.0,130.4784,-0.0056,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092986,TRUE,46:52.0,130.474,-0.008,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092987,TRUE,31:19.0,130.5474,0.0279,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092988,TRUE,32:13.0,130.5711,0.0369,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092989,TRUE,53:00.0,130.567,0.025,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092990,TRUE,10:23.0,130.5994,0.0317,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092991,TRUE,57:25.0,130.6701,0.0624,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092992,TRUE,23:35.0,130.6477,0.0307,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
